,X_mean,Y_mean,Z_mean,X_var,Y_var,Z_var,medicao,tipo,sucesso
5517,45.004799479999996,13.46639976,18.5016,2983.811583075203,0.7506238882001691,746.5178608500001,414659854,Ciclometrico,1
2460,42.237646443137265,-9.970588186274512,-2.688235360784314,2878.387853685669,373.99228728211796,1287.8443814163304,414209298,,0
2206,-49.90823494901961,-11.947058411764708,-11.550588090196078,2610.8505790906083,1231.1460442200012,38.00942916651303,430229903,,0
6261,39.58064487741936,8.490967583870967,-15.04064495483871,2310.406140734672,183.27356153837457,538.7043171797683,420933314,Ciclometrico,1
2094,-61.81464168627452,83.54149094117648,-22.095023215686275,2217.1908444168957,2608.600699245732,2472.1325674046543,413744284,,0
7231,-81.23684100000001,64.7684204736842,24.47052615789474,2159.110913732986,545.0725528698258,95.99730495333348,412502176,,0
3614,10.237296837837835,-7.248648524324326,-10.882702562972971,2114.6633833954984,672.461948969334,197.43546532292447,414175230,Ciclometrico,1
385,22.756362772727268,15.71181790363636,17.02636345,2097.392899327276,541.5809988723331,722.5395113534809,413791713,Ciclometrico,1
5512,56.1553832,7.089230529615384,15.489230492307694,2059.2649410215313,33.19334925566413,1268.2997481540933,420870391,Ciclometrico,1
3256,26.155554722222224,-18.84666644444444,-22.42222181481481,2035.2380027325676,1177.8106721292318,73.04283432290653,421042700,Ciclometrico,1
8350,-46.37086924347824,3.692608732608696,-1.86260845,2032.620762836071,618.2989652172819,1991.8769431834553,400357065,Ciclometrico,1
6276,-5.562856857142863,47.33999957142857,-11.104285714285718,1956.3908496567044,460.20460497230965,1192.3274292843964,420324756,Ciclometrico,1
4686,86.63806258064515,-2.533548307741936,58.23870860645161,1936.3577734932976,105.60112416648285,1460.8022977417845,411369788,Ciclometrico,1
5312,-6.058641197959184,2.581450240612245,8.654940785714286,1896.519376031699,92.81334842604093,572.1922144920198,421311698,Eletronico,0
5577,50.12470509803922,97.51646945098038,-23.50823494509804,1786.3706471128974,2167.8776247955357,106.9385761602734,414091436,Ciclometrico,1
